"parcela","distancia","plant_1","plant_2","plant_3","plant_4"
1,18.488225992769,0,1,2,1
2,70.2374035958201,0,4,0,3
3,57.3326334822923,3,8,2,0
4,16.8051920365542,4,3,4,2
5,94.3839338840917,1,6,0,0
6,94.3474958650768,3,9,3,0
7,12.9158976720646,3,3,0,0
8,83.3448815625161,6,6,0,0
9,46.8018515501171,2,1,1,1
10,54.998374171555,3,2,0,0
11,55.267406697385,3,0,6,0
12,23.889475944452,4,3,4,0
13,76.0513313114643,2,5,1,4
14,18.0820100707933,1,2,0,0
15,40.5282181221992,4,4,2,3
16,85.3548452956602,2,9,8,0
17,97.6398489437997,1,12,0,0
18,22.5825461093336,2,0,3,1
19,44.4809229113162,1,6,0,5
20,7.49794247094542,0,1,1,0
21,66.1898758495227,1,1,6,0
22,38.7549542589113,1,1,7,2
23,83.6889176862314,0,12,0,5
24,15.0501440744847,1,3,10,0
25,34.727224893868,1,1,17,0
26,48.8773231394589,3,4,0,0
27,14.9246862856671,1,2,2,0
28,35.7062590075657,4,2,0,0
29,96.2644048267975,1,10,0,0
30,13.2372003281489,2,1,0,2
31,1.04145254008472,1,0,0,0
32,16.4642242016271,2,4,4,0
33,81.0192144475877,0,2,1,8
34,86.8861036840826,1,12,0,5
35,51.4281762996688,1,2,1,3
36,62.7196286572143,3,5,1,1
37,84.4429003074765,5,7,0,0
38,28.4870574250817,1,3,3,0
39,66.7225647717714,3,3,1,0
40,15.0469752028584,1,1,0,0
41,98.1727862264961,5,6,2,0
42,29.7010735142976,1,1,0,1
43,11.5084075368941,1,2,11,0
44,16.3200871786103,2,1,1,0
45,94.4041808135808,2,8,0,7
46,79.4863823568448,1,7,0,6
47,97.4687897600234,2,10,0,0
48,34.9088410614058,0,2,0,0
49,50.1969880890101,0,3,0,3
50,81.0397262685001,2,5,4,7
